year,title,conference,location,date
2023,角度與填充率對中高溫熱管性能之實驗研究,2023 GTEA綠色科技工程與應用研討會,國立勤益科技大學,2023/5/26
2017,探討穿臨界有機朗肯循環系統於不穩定熱源之敏感性,中國機械工程學會第三十四屆全國學術研討會,國立勤益科技大學,2017/12/1
2017,離島電廠廢熱回收產能量測與發電效益評估,中國機械工程學會第三十四屆全國學術研討會,國立勤益科技大學,2017/12/1
2018,變動熱源對有機朗肯循環輸出功率之影響,台灣機電工程國際學會第一屆第三次年會暨全國學術研討會,台南大學,2018/2/24
2018,不同熱源溫度對非共沸混合流體於穿臨界有機朗肯循環系統之影響,2018綠色科技工程與應用研討會,國立勤益科技大學,2018/5/25
2018,儲集層之熱能評估,台灣機電工程國際學會第一屆第三次年會暨全國學術研討會,台南大學,2018/2/24
2018,低溫混合工作流體於有機朗肯循環應用之特性回顧,2018 綠色科技工程與應用研討會,國立勤益科技大學,2018/5/25
2018,最佳化比例之混合工作流體對有機朗肯循環系統效能之探討,臺灣精密工程科技研討會(TPTW2018)暨年會,國立中興大學,2018/11/29
2018,以地熱井產能測試條件快速評估發電系統,台灣機電工程國際學會第一屆第三次年會暨全國學術研討會,台南大學,2018/2/24
2018,熱管應用於鑄鐵之均溫性研究,台灣真空學會2018年度會員大會暨論文發表會（TVS-2018）,國立中正大學,2018/11/2
2019,低溫熱源有機朗肯循環系統之氫氟烴與碳氫冷媒混合比例最佳化,台灣機電工程國際學會第四屆全國學術研討會,國立高雄科技大學,2019/2/15
2019,探討膨脹機入口壓力對混合流體R134a/R245fa之影響,台灣機電工程國際學會第四屆全國學術研討會,國立高雄科技大學,2019/2/15
2019,膨脹機入口壓力對純流體於穿臨界有機朗肯循環之影響,2019 綠色科技工程與應用研討會,國立勤益科技大學,2019/5/24
2019,穿臨界有機朗肯循環使用混合冷媒R245fa/R134a之性能與經濟分析,中國機械工程學會第三十六屆全國學術研討會,臺灣師範大學,2019/12/7
2019,吸收式冰水系統對混合冷媒有機朗肯循環系統性能影響之研究,中國機械工程學會第三十六屆全國學術研討會,臺灣師範大學,2019/12/7
2019,應用於地熱電廠之穿臨界有機朗肯循環混合工作流體特性研究與經濟效益評估,中國機械工程學會第三十六屆全國學術研討會,臺灣師範大學,2019/12/7
2020,生產井之地熱水流量對儲集層溫度及穿臨界有機朗肯循環之影響,2020綠色科技工程與應用研討會,國立勤益科技大學,2020/5/25
2020,2020綠色科技工程與應用研討會,2020綠色科技工程與應用研討會,國立勤益科技大學,2020/5/25
