year,title,conference,location,date
2023,Feasibility and Performance Analysis of Utilizing Spent Mushroom Substrate as Biomass Fuel,Indonesia 3rd International Seminar of Science and Applied Technology,"Bandung, Indonesia",2023/12/18
2023,Performance comparison of transcritical cycle and organic Rankine cycle coupled with Chingshui geothermal reservoir,Indonesia 3rd International Seminar of Science and Applied Technology,"Bandung, Indonesia",2023/12/18
2023,Experimental study on effect of superheat degree in an organic Rankine cycle with a scroll expander,Indonesia 3rd International Seminar of Science and Applied Technology,"Bandung, Indonesia",2023/12/18
2023,Numerical study for effect of injection parameters on reservoir: A case study for Lahendong,Indonesia 3rd International Seminar of Science and Applied Technology,"Bandung, Indonesia",2023/12/18
2025,"Assessment of Off-Design Performance in a Coupling Single-Flash Cycle, Geothermal Reservoir, and Turbo-Expander",24th Annual Conference on Liquid Atomization and Spray Systems-Asia,"Taina, Taiwan",2025/10/26
2025,Experimental Performance Analysis of a Rotary Vane Expander in Micro-ORC Systems for Low-Grade Heat Utilization,The 8th International Seminar on ORC Power Systems,"Lappeenranta, Finland",2025/9/9
2025,"Assessment of Off-Design Performance in a Coupling Single-Flash Cycle, Geothermal Reservoir, and Turbo-Expander",The 8th International Seminar on ORC Power Systems,"Lappeenranta, Finland",2025/9/9
2025,Economic analysis of single flash cycle for geothermal system,12th International Conference on Heat Transfer and Fluid Flow,"Paris, France",2025/8/19
2025,"Thermodynamic, environment and economic analysis of 
bioenergy polygeneration system integrated with carbon 
capture",2025 8th International Conference on Environmental and Energy Engineering (IC3E 2025).,"Okinawa, Japan",2025/5/15
2024,"Evaluating Off-Design Performance in Geothermal
Binary Cycles Coupled with an Axial TurboExpander: A Comparison of R1234ze(Z) and
R245fa",7th International Conference on Knowledge Innovation and Invention 2024 (ICKII 2024),"Nagoya, Japan",2024/8/16
2024,Economic value of geothermal polygeneration under off design condition,"International Conference on Mechatronic, Automobile, and Environmental Engineering 2024"," Ha Noi, Vietnam",2024/7/18
2024,Off-design performance analysis of partial admission axial turbo-expander used in geothermal binary cycle,"International Conference on Mechatronic, Automobile, and Environmental Engineering 2024"," Ha Noi, Vietnam",2024/7/18
2024,Feasibility experimental of Modified rotary vane expander,"International Conference on Mechatronic, Automobile, and Environmental Engineering 2024"," Ha Noi, Vietnam",2024/7/18
2024,"Effect of SMS composition ratios on the
efficiency of biomass systems and the cost of
drying equipment","International Conference on Mechatronic, Automobile, and Environmental Engineering 2024"," Ha Noi, Vietnam",2024/7/18
2023,Energy and exergy analysis of geothermal binary system under off-design conditions,"Proceedings of 2023 International Conference on Mechatronic, Automobile, and Environment Engineering","Bangkok, Thailand",2023/8/3
2023,Performance and economic analysis of the different geothermal power plant configurations,"Proceedings of 2023 International Conference on Mechatronic, Automobile, and Environment Engineering","Bangkok, Thailand",2023/8/3
2022,Experimental study of organic Rankine cycle with dual-parallel scroll expander,"2022 International Conference on Mechatronic, Automobile, and Environment Engineering","Penghu, Taiwan",2022/7/15
2022,Thermodynamic analysis of a novel system combining an organic Rankine cycle with an absorption refrigeration cycle,NAC2022 3rd International Conference on Nanomaterials and Advanced Composites ,"Bangkok, Thailand",2022/7/16
2019,PERFORMANCE ANALYSIS OF ORGANIC RANKINE CYCLES USING HFC- AND HC-BASED ZEOTROPIC MIXTURES UNDER DIFFERENT HEAT SOURCE TEMPERATURES,5th International Seminar on ORC Power Systems,"Athens, Greece",2019/9/9
2019,Performance and Exergy Analysis of Transcritical Organic Rankine Cycle Associated with Mixture Working Fluids,5th International Seminar on ORC Power Systems,"Athens, Greece",2019/9/9
2020,INVESTIGATE OF VELOCITY AND PRESSURE FIELD FOR AN AXIAL TURBINE OF ORC WITH R245FA,"Proceedings of 2020 International Conference on Mechatronic, Automobile, and Environment Engineering","Kinmen, Taiwan",2020/11/6
2018,Investigated effects of the operating conditions for zeotropic mixtures with transcritical organic Rankine cycle,"Proceedings of 2018 International Conference on Mechatronic, Automobile, and Environment Engineering","Chiang Mai, Thailand",2018/7/7
